id,stateAbbrev,gasTaxRate,stateName,yrsSinceInc,localGasTax,pctBridges,pctRoads,propTaxLimits,gasTaxType,localSalesTax
2,AK,8,Alaska,44,2,11,7,2,1,1
1,AL,16,Alabama,22,2,54,61,4,1,2
5,AR,22,Arkansas,13,0,34,66,4,1,2
4,AZ,18,Arizona,23,0,13,28,4,1,2
6,CA,40,California,0,1,29,37,4,3,2
8,CO,22,Colorado,23,0,40,66,2,1,2
9,CT,101,Connecticut,101,101,101,101,101,101,101
11,DC,24,District of Columbia,,101,1,0,101,101,101
10,DE,23,Delaware,19,0,0,0,1,1,0
12,FL,4,Florida,0,2,34,61,4,3,2
13,GA,8,Georgia,0,0,50,69,1,3,2
15,HI,17,Hawaii,7,2,33,74,1,3,0
19,IA,21,Iowa,25,0,79,79,4,1,2
16,ID,25,Idaho,18,0,35,33,2,1,0
17,IL,19,Illinois,24,2,15,11,4,1,0
18,IN,18,Indiana,11,0,69,69,2,1,0
20,KS,24,Kansas,11,0,74,81,1,1,2
21,KY,29,Kentucky,0,0,34,55,2,2,0
22,LA,20,Louisiana,24,0,33,59,4,1,2
25,MA,24,Massachussetts,23,0,3,8,2,1,0
24,MD,24,Maryland,0,0,40,72,3,1,0
23,ME,30,Maine,6,0,0,2,0,1,0
26,MI,19,Michigan,17,0,51,73,4,1,0
27,MN,29,Minnesota,6,0,41,34,2,1,2
29,MO,17,Missouri,18,0,52,56,2,1,2
28,MS,18,Mississippi,27,0,58,69,2,1,0
30,MT,27,Montana,20,1,37,58,2,1,1
37,NC,38,North Carolina,0,0,0,0,2,3,0
38,ND,23,North Dakota,9,0,71,12,2,1,2
31,NE,26,Nebraska,0,0,72,65,2,3,2
33,NH,18,New Hamshire,23,0,0.04,0,0,1,0
34,NJ,11,New Jersey,26,0,40,17,3,1,0
35,NM,17,New Mexico,21,1,9,58,4,1,2
32,NV,23,Nevada,22,2,20,65,4,1,2
36,NY,8,New York,5,0,39,23,4,3,2
39,OH,28,Ohio,9,0,55,24,2,1,2
40,OK,16,Oklahoma,27,0,59,70,4,1,2
41,OR,30,Oregon,2,2,45,56,4,1,0
42,PA,0,Pennsylvania,0,0,13,2,2,2,0
44,RI,101,Rhode Island,101,101,101,101,101,101,101
45,SC,16,South Carolina,27,0,8,31,3,1,2
46,SD,22,South Dakota,15,0,63,43,2,1,1
47,TN,20,Tennessee,25,1,48,64,1,1,2
48,TX,20,Texas,23,0,19,47,4,1,1
49,UT,25,Utah,17,0,19,53,2,1,2
51,VA,15,Virginia,0,0,2,3,1,2,0
50,VT,18,Vermont,0,0,0,0,0,3,1
53,WA,38,Washington,6,2,41,47,4,1,1
55,WI,31,Wisconsin,8,0,22,18,1,1,0
54,WV,21,West Virginia,6,0,0,0,2,3,0
56,WY,23,Wyoming,0,0,23,52,2,1,2
